Nifty 50,sensex,BankBaroda(share price),volume,LTT,Bid-1,orders-1,Qty-1,Bid-2,orders-2,Qty-2,Bid-3,orders-3,Qty-3,Bid-4,orders-4,Qty-4,Bid-5,orders-5,Qty-5,Total-1,offer-1,orders-1,Qty-1,offer-2,orders-2,Qty-2,offer-3,orders-3,Qty-3,offer-4,orders-4,Qty-4,offer-5,orders-5,Qty-5,Total-2,Average_price
10640.25,36190.00,0,4854069.0,09:40:54,47.8,11.0,13304.0,47.75,40.0,52147.0,47.7,35.0,68857.0,47.65,22.0,49228.0,47.6,37.0,81443.0,2982174.0,47.85,49.0,31127.0,47.9,57.0,59486.0,47.95,58.0,89826.0,48.0,143.0,97312.0,48.05,29.0,48427.0,2457384.0,47.36
10640.25,36194.15,0,4854069.0,09:40:54,47.8,11.0,13304.0,47.75,40.0,52147.0,47.7,35.0,68857.0,47.65,22.0,49228.0,47.6,37.0,81443.0,2982174.0,47.85,49.0,31127.0,47.9,57.0,59486.0,47.95,58.0,89826.0,48.0,143.0,97312.0,48.05,29.0,48427.0,2457384.0,47.36
10639.60,36194.25,0,4855377.0,09:40:55,47.8,4.0,3576.0,47.75,42.0,52198.0,47.7,36.0,68907.0,47.65,22.0,49228.0,47.6,37.0,81443.0,2966137.0,47.85,54.0,38472.0,47.9,57.0,59273.0,47.95,58.0,89826.0,48.0,143.0,97312.0,48.05,29.0,48427.0,2461106.0,47.36
10639.05,36191.22,0,4855377.0,09:40:55,47.8,4.0,3576.0,47.75,42.0,52198.0,47.7,36.0,68907.0,47.65,22.0,49228.0,47.6,37.0,81443.0,2966137.0,47.85,54.0,38472.0,47.9,57.0,59273.0,47.95,58.0,89826.0,48.0,143.0,97312.0,48.05,29.0,48427.0,2461106.0,47.36
10638.90,36189.43,0,4860697.0,09:40:59,47.8,6.0,2805.0,47.75,43.0,52511.0,47.7,39.0,71457.0,47.65,21.0,49178.0,47.6,35.0,79133.0,2966324.0,47.85,50.0,36713.0,47.9,60.0,59573.0,47.95,58.0,89826.0,48.0,145.0,97554.0,48.05,29.0,48427.0,2459889.0,47.36
10640.15,36191.28,0,4860697.0,09:40:59,47.8,6.0,2805.0,47.75,43.0,52511.0,47.7,39.0,71457.0,47.65,21.0,49178.0,47.6,35.0,79133.0,2966324.0,47.85,50.0,36713.0,47.9,60.0,59573.0,47.95,58.0,89826.0,48.0,145.0,97554.0,48.05,29.0,48427.0,2459889.0,47.36
10640.15,36197.73,0,4865447.0,09:41:02,47.75,27.0,30825.0,47.7,35.0,61508.0,47.65,21.0,49178.0,47.6,34.0,70933.0,47.55,23.0,50445.0,2943918.0,47.8,15.0,18638.0,47.85,50.0,39611.0,47.9,59.0,57578.0,47.95,59.0,90126.0,48.0,145.0,97554.0,2471732.0,47.36
10640.95,36197.84,0,4865447.0,09:41:02,47.75,27.0,30825.0,47.7,35.0,61508.0,47.65,21.0,49178.0,47.6,34.0,70933.0,47.55,23.0,50445.0,2943918.0,47.8,15.0,18638.0,47.85,50.0,39611.0,47.9,59.0,57578.0,47.95,59.0,90126.0,48.0,145.0,97554.0,2471732.0,47.36
10640.50,36198.78,0,4873985.0,09:41:03,47.8,4.0,5026.0,47.75,36.0,45889.0,47.7,41.0,74576.0,47.65,21.0,49178.0,47.6,35.0,79133.0,2983536.0,47.85,51.0,36626.0,47.9,63.0,60088.0,47.95,59.0,90126.0,48.0,145.0,97554.0,48.05,30.0,48827.0,2460617.0,47.36
10641.70,36202.12,0,4879739.0,09:41:05,47.8,8.0,4996.0,47.75,31.0,38261.0,47.7,37.0,63008.0,47.65,21.0,49178.0,47.6,34.0,70933.0,2970766.0,47.85,45.0,40079.0,47.9,63.0,60088.0,47.95,57.0,89226.0,48.0,145.0,97554.0,48.05,29.0,48486.0,2459212.0,47.36
